DISTRICT_NAME,DISTRICT_CODE,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS
Belmont,00260000,95.3,8.4,28.6,9.9,2.4,6.7
Cape Cod Lighthouse Charter (District),04320000,92.9,12.6,55.1,21.7,2.8,14.2
Lincoln,01570000,94.1,10.0,41.7,14.6,2.0,2.7
Innovation Academy Charter (District),04350000,92.8,12.9,51.9,18.8,5.7,16.6
KIPP Academy Boston Charter School (District),04630000,91.7,15.0,58.2,28.6,7.5,5.7
Southern Berkshire,07650000,91.9,14.2,58.3,24.8,6.2,27.6
Atlantis Charter (District),04910000,91.9,14.6,56.9,26.4,7.2,38.3
Ipswich,01440000,95.3,8.0,30.9,6.5,1.3,18.5
Lee,01500000,94.3,9.9,37.7,9.7,3.2,9.6
New Heights Charter School of Brockton (District),35130000,93.5,11.4,45.6,21.0,4.2,38.2
Taunton,02930000,92.3,13.2,48.8,23.8,7.3,39.1
Wayland,03150000,95.6,7.9,28.1,7.8,1.2,1.4
Wachusett,07750000,94.4,9.9,40.0,11.5,2.6,0.0
Middleton,01840000,95.0,9.0,36.5,10.0,0.9,35.6
Salem Academy Charter (District),04850000,93.5,12.0,46.1,15.9,4.1,18.8
Manchester Essex Regional,06980000,95.1,8.7,33.4,8.5,0.8,18.6
Northbridge,02140000,93.3,11.7,47.3,19.0,4.3,35.9
Worcester,03480000,92.0,13.7,49.9,25.3,7.8,41.0
Salem,02580000,92.6,12.7,47.8,19.2,6.4,27.2
Oak Bluffs,02210000,94.0,10.3,51.4,17.7,0.7,4.7
Pittsfield,02360000,88.9,19.1,61.4,38.6,16.0,41.3
Falmouth,00960000,91.8,14.3,59.1,26.7,6.5,41.9
Franklin,01010000,94.7,9.3,34.9,11.8,2.6,23.0
Wrentham,03500000,94.7,9.0,37.0,12.3,0.9,1.2
Spencer-E Brookfield,07670000,93.4,11.4,46.1,15.1,3.8,10.0
Barnstable,00200000,92.9,12.0,50.1,21.7,4.9,31.0
Melrose,01780000,94.8,9.2,34.9,10.6,2.2,24.7
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,46.4,71.6,93.5,96.0,86.0,0.0
Beverly,00300000,92.1,14.0,58.4,24.8,5.4,29.0
Veritas Preparatory Charter School (District),04980000,92.5,13.0,51.0,24.3,6.8,41.3
Watertown,03140000,93.7,11.0,37.5,15.6,4.3,16.6
Mashpee,01720000,93.3,11.6,47.8,19.5,4.6,11.7
Greater Lawrence Regional Vocational Technical,08230000,94.7,9.3,37.5,12.6,2.5,37.5
Central Berkshire,06350000,94.1,10.4,43.7,16.7,2.5,30.8
Northampton-Smith Vocational Agricultural,04060000,95.0,8.9,35.0,8.8,1.7,15.0
Braintree,00400000,94.7,8.9,33.4,11.6,3.0,0.0
Hopkinton,01390000,95.0,8.8,32.2,9.9,2.2,0.5
Pioneer Charter School of Science (District),04940000,95.7,8.0,34.5,5.5,0.4,13.0
Carver,00520000,94.0,10.5,46.4,14.0,2.2,34.2
Bristol-Plymouth Regional Vocational Technical,08100000,95.1,8.7,34.8,8.8,1.5,21.6
Newton,02070000,94.8,9.1,34.5,11.3,2.3,7.6
Westborough,03210000,94.3,9.8,38.5,15.2,3.3,13.5
Hamilton-Wenham,06750000,95.8,7.5,27.0,5.3,0.7,4.7
Learning First Charter Public School (District),04860000,95.1,9.0,35.0,10.6,1.3,21.6
Hopedale,01380000,94.5,9.7,33.7,10.4,3.1,12.1
Advanced Math and Science Academy Charter (District),04300000,95.0,9.0,36.8,9.4,1.0,11.2
Chesterfield-Goshen,06320000,94.7,9.3,41.1,14.7,0.0,0.0
Dracut,00790000,94.2,10.0,38.2,14.6,3.5,34.7
Somerville,02740000,92.8,12.0,44.1,19.3,5.8,32.2
Blackstone-Millville,06220000,93.6,11.1,44.7,19.6,3.7,30.6
Plainville,02380000,94.6,9.2,35.9,13.4,1.9,4.7
Athol-Royalston,06150000,92.1,13.7,52.6,25.7,7.2,36.9
Amesbury,00070000,93.2,11.8,45.1,19.6,4.4,7.9
Littleton,01580000,95.4,8.1,29.5,7.5,1.7,1.1
Nantucket,01970000,92.9,12.2,54.4,22.7,3.4,23.7
Norwood,02200000,92.4,13.0,47.1,25.4,7.4,38.4
Bristol County Agricultural,09100000,93.9,10.9,44.6,15.1,3.2,13.2
Nauset,06600000,93.3,11.8,48.6,18.3,3.7,43.5
Hill View Montessori Charter Public (District),04550000,93.3,11.4,48.7,17.7,3.2,15.2
Old Sturbridge Academy Charter Public School (District),35150000,93.4,11.9,53.3,18.5,1.9,38.0
Rockland,02510000,93.0,12.3,48.3,19.2,5.5,39.6
West Bridgewater,03230000,95.1,8.5,33.3,10.2,1.8,22.3
Weymouth,03360000,93.2,11.5,44.1,19.2,4.7,32.9
Academy Of the Pacific Rim Charter Public (District),04120000,92.5,13.1,50.8,24.1,6.1,24.9
Mattapoisett,01730000,94.9,8.4,34.1,8.9,1.3,0.3
Gill-Montague,06740000,92.6,12.7,50.6,22.2,6.4,36.7
Orleans,02240000,93.7,11.1,55.9,12.5,0.7,55.3
Framingham,01000000,91.2,14.9,53.6,30.5,11.0,32.2
North Andover,02110000,94.0,10.6,41.9,14.5,3.0,0.0
Abington,00010000,93.5,11.4,47.4,17.8,3.7,23.8
Ayer Shirley School District,06160000,94.6,9.3,35.0,13.1,2.7,0.1
Chelmsford,00560000,95.4,8.2,29.2,9.0,1.9,14.0
Shrewsbury,02710000,94.7,9.3,37.7,11.1,1.9,2.4
Plymouth,02390000,93.9,10.6,41.5,15.7,3.8,27.4
Old Colony Regional Vocational Technical,08550000,95.4,8.2,31.1,8.8,1.8,3.4
Springfield,02810000,90.9,15.4,57.0,32.8,10.1,39.9
Reading,02460000,95.2,8.4,31.1,8.1,1.4,0.1
Randolph,02440000,91.8,13.8,43.2,23.1,9.3,18.0
Westwood,03350000,95.5,7.9,26.2,7.4,1.6,6.9
Westport,03310000,93.8,10.9,43.8,15.2,2.8,27.4
Northeast Metropolitan Regional Vocational Technical,08530000,95.0,8.9,34.2,10.3,1.7,22.0
Dighton-Rehoboth,06500000,94.1,10.4,41.6,14.4,2.9,25.0
Holland,01350000,94.7,9.2,35.7,8.5,0.4,29.0
West Boylston,03220000,95.1,8.5,33.8,10.2,2.0,33.7
Easthampton,00860000,93.3,11.7,48.2,20.1,3.9,12.6
Amherst-Pelham,06050000,92.2,13.7,46.9,22.3,7.7,21.8
Bellingham,00250000,93.4,11.3,42.6,19.2,4.5,27.4
Narragansett,07200000,94.3,10.0,38.0,14.2,3.4,25.8
Groton-Dunstable,06730000,95.0,8.8,32.7,8.9,1.7,19.4
Wales,03060000,94.7,9.2,38.6,13.9,2.0,31.7
Ralph C Mahar,07550000,92.7,12.4,40.8,17.7,8.2,0.0
Petersham,02340000,93.8,11.1,52.7,15.8,1.4,0.0
East Bridgewater,00830000,94.2,10.2,41.4,13.7,2.3,29.2
Masconomet,07050000,93.8,10.9,39.2,16.1,3.8,7.0
Concord,00670000,95.4,8.0,30.8,7.4,0.9,5.0
Milton,01890000,96.9,5.5,16.7,4.9,1.1,0.2
Dover-Sherborn,06550000,95.7,7.8,30.6,5.3,0.5,18.7
Burlington,00480000,94.2,10.0,38.9,14.3,2.9,11.3
Mansfield,01670000,95.1,8.6,30.6,10.7,2.4,16.9
Westfield,03250000,92.8,12.4,47.6,21.7,6.0,11.7
Pioneer Charter School of Science II (District),35060000,94.8,9.5,38.4,9.6,1.4,16.7
Cambridge,00490000,92.6,12.7,46.8,21.7,7.0,15.1
Sturbridge,02870000,94.9,8.8,36.9,10.4,1.6,26.6
Canton,00500000,94.1,10.2,39.1,15.4,3.6,22.7
Peabody,02290000,92.9,12.4,50.9,22.6,4.9,49.1
Harvard,01250000,92.7,12.9,45.7,19.8,4.9,1.7
Upper Cape Cod Regional Vocational Technical,08790000,93.3,11.9,49.3,22.3,5.0,22.2
Berlin-Boylston,06200000,94.8,9.0,36.2,9.9,1.9,22.8
Weston,03300000,95.2,8.6,34.1,7.8,1.0,4.3
Worcester Cultural Academy Charter Public School (District),35190000,92.6,11.5,47.5,26.5,4.1,39.7
Westhampton,03270000,97.8,4.0,9.1,1.0,1.0,0.0
Pentucket,07450000,94.3,10.0,39.0,12.3,2.8,5.6
New Salem-Wendell,07280000,93.2,12.1,52.6,18.2,4.4,11.7
Boston,00350000,90.0,17.2,57.0,33.0,12.3,41.3
North Attleborough,02120000,93.7,10.9,43.4,16.9,3.7,10.7
Eastham,00850000,93.0,12.2,52.1,20.8,4.2,18.8
Quaboag Regional,07780000,92.4,13.1,51.0,24.1,6.2,20.5
State Totals,00000000,93.2,11.9,44.4,18.8,5.2,23.0
Waltham,03080000,93.4,11.2,40.7,18.8,5.5,34.9
Wakefield,03050000,92.0,14.5,69.6,21.1,3.6,13.8
Boston Green Academy Horace Mann Charter School (District),04110000,86.7,22.8,67.1,48.2,21.7,59.4
Foxborough,00990000,95.1,8.6,30.7,9.0,1.9,5.7
Leominster,01530000,92.7,12.5,49.1,22.4,5.4,39.2
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,53.1,67.7,88.0,88.6,78.4,0.0
Fitchburg,00970000,90.5,15.7,59.9,36.2,10.2,47.6
Uxbridge,03040000,93.9,10.8,37.9,18.3,5.6,17.5
Quabbin,07530000,93.4,11.5,47.4,19.0,4.1,33.2
Boston Day and Evening Academy Charter (District),04240000,64.0,48.8,94.7,93.4,76.2,0.0
Danvers,00710000,93.8,10.8,40.9,15.5,3.7,32.5
Hilltown Cooperative Charter Public (District),04500000,94.3,10.2,41.8,10.9,2.7,3.2
Cape Cod Regional Vocational Technical,08150000,95.0,8.9,33.8,11.6,1.7,1.5
Global Learning Charter Public (District),04960000,96.5,6.1,14.5,3.5,1.2,12.8
Collegiate Charter School of Lowell (District),35030000,94.7,9.3,35.7,13.3,1.9,16.7
Tewksbury,02950000,94.8,9.1,36.5,11.2,2.0,22.3
Greenfield,01140000,92.0,13.3,46.8,26.6,8.6,29.7
Ludlow,01610000,94.3,9.9,40.2,12.3,2.8,34.6
Blackstone Valley Regional Vocational Technical,08050000,95.8,8.0,30.5,6.3,0.8,2.6
Alma del Mar Charter School (District),04090000,94.5,9.8,39.0,13.6,2.4,0.4
Four Rivers Charter Public (District),04130000,93.2,11.7,43.5,20.2,6.7,8.1
Pioneer Valley Performing Arts Charter Public (District),04790000,90.1,16.3,63.1,35.0,11.9,3.4
Granby,01110000,95.3,8.3,26.9,10.0,2.6,8.6
Leverett,01540000,94.3,10.5,50.7,9.4,0.0,4.3
Sherborn,02690000,94.8,9.2,36.7,6.8,1.0,32.4
Auburn,00170000,94.5,9.6,38.7,12.6,2.2,25.4
Arlington,00100000,95.2,8.4,30.7,8.8,1.7,4.4
Provincetown,02420000,91.5,14.5,61.4,33.5,4.4,56.3
North Brookfield,02150000,88.7,19.5,68.2,32.7,14.8,43.8
North Adams,02090000,91.4,14.7,53.3,30.0,8.9,24.7
Richmond,02490000,94.6,9.5,40.4,11.8,0.6,6.8
Greater New Bedford Regional Vocational Technical,08250000,96.0,7.1,24.6,8.1,1.9,11.0
Belchertown,00240000,93.9,10.6,42.8,15.2,3.4,29.5
Bridgewater-Raynham,06250000,94.6,9.4,38.0,10.8,2.0,5.3
Lawrence Family Development Charter (District),04540000,97.1,5.2,14.5,1.9,0.3,1.1
Webster,03160000,92.0,13.4,53.8,27.3,7.8,22.7
Berkshire Hills,06180000,91.9,14.1,52.5,27.7,7.0,7.6
North Middlesex,07350000,93.8,10.8,43.4,16.1,3.1,31.2
Brewster,00410000,94.2,10.2,43.5,11.8,1.6,10.6
Southwick-Tolland-Granville Regional School District,07660000,94.7,9.3,38.9,12.8,1.4,24.8
Wareham,03100000,92.8,12.1,49.2,21.8,5.4,28.2
Halifax,01180000,94.5,9.8,44.0,11.0,0.9,39.8
Easton,00880000,94.5,9.7,38.1,11.3,2.0,29.2
Marlborough,01700000,92.8,12.1,50.7,22.2,5.3,33.4
Conservatory Lab Charter (District),04390000,94.1,10.9,46.8,16.0,1.3,36.1
Hingham,01310000,95.7,7.8,28.2,6.1,1.0,10.2
Mystic Valley Regional Charter (District),04700000,96.3,7.3,29.8,3.3,0.3,0.8
Freetown-Lakeville,06650000,94.6,9.5,37.3,11.8,2.3,22.6
Cohasset,00650000,95.6,7.7,27.2,5.2,0.6,12.4
Winthrop,03460000,94.7,9.3,37.2,13.1,2.2,25.1
Southern Worcester County Regional Vocational School District,08760000,95.1,8.6,33.7,11.1,1.0,24.8
Duxbury,00820000,95.4,8.2,30.5,6.6,1.0,13.4
Sandwich,02610000,94.0,10.4,44.9,14.3,1.9,29.8
Tyngsborough,03010000,94.0,10.5,41.1,14.7,3.1,0.0
Acushnet,00030000,95.3,8.4,34.5,9.6,0.5,10.2
South Shore Regional Vocational Technical,08730000,94.1,10.4,39.4,13.8,3.5,17.9
Libertas Academy Charter School (District),35140000,91.9,13.9,57.9,27.1,6.9,2.8
Mohawk Trail,07170000,93.2,12.1,48.9,18.0,4.9,16.2
Bridge Boston Charter School (District),04170000,93.5,11.4,46.7,20.1,4.9,46.4
Nahant,01960000,93.7,10.7,46.3,16.4,2.8,12.4
Whittier Regional Vocational Technical,08850000,94.0,10.7,39.4,15.3,3.3,3.2
Orange,02230000,94.0,10.5,40.4,15.6,3.8,0.0
Whitman-Hanson,07800000,93.3,11.6,47.2,19.4,5.0,28.9
Farmington River Reg,06620000,92.9,12.2,52.0,24.4,5.5,5.5
Marion,01690000,93.7,10.7,44.2,15.8,2.6,0.0
Lincoln-Sudbury,06950000,95.8,7.6,22.6,6.8,1.8,0.3
Ashburnham-Westminster,06100000,94.7,9.1,37.7,10.4,1.5,30.5
Chicopee,00610000,92.3,13.0,51.4,24.9,6.6,48.5
Northampton,02100000,93.8,10.8,41.4,15.9,4.7,30.8
Brookline,00460000,95.0,8.7,32.9,10.8,1.8,13.5
Wellesley,03170000,95.1,8.7,30.8,9.6,2.4,5.2
Wilmington,03420000,95.3,8.3,30.4,8.9,1.6,12.0
Needham,01990000,95.7,7.7,26.1,6.7,1.3,0.4
Map Academy Charter School (District),35170000,42.9,90.4,96.8,95.0,86.9,0.0
Shawsheen Valley Regional Vocational Technical,08710000,94.6,9.6,33.4,12.6,3.0,0.0
Plympton,02400000,95.2,8.5,34.4,10.9,0.0,32.4
Haverhill,01280000,91.4,14.7,52.6,27.2,9.4,43.2
Millbury,01860000,94.1,10.5,41.6,14.6,3.3,27.2
Bourne,00360000,93.1,12.0,51.7,20.0,4.2,1.2
Hampden Charter School of Science (District),04990000,93.8,10.9,47.8,15.3,2.3,16.1
Lenox,01520000,93.8,11.0,47.7,15.7,1.7,1.9
Hawlemont,06850000,94.1,9.9,41.8,16.5,1.3,30.4
Middleborough,01820000,93.4,11.5,46.8,18.1,3.4,32.5
Hanover,01220000,94.8,9.2,35.7,10.0,1.8,20.8
Brockton,00440000,91.8,13.7,49.9,26.9,8.2,22.7
Springfield International Charter (District),04410000,92.8,12.6,54.4,23.0,3.9,44.7
Northborough,02130000,94.7,9.3,36.3,10.7,1.8,2.4
Leicester,01510000,93.8,10.5,42.5,16.7,3.1,1.0
Worthington,03490000,92.3,13.5,61.5,24.4,5.1,2.6
Mount Greylock,07150000,94.9,9.0,35.6,11.2,1.8,11.4
Rowe,02530000,91.5,14.7,66.1,27.1,5.1,0.0
Lowell,01600000,92.6,12.7,46.9,21.4,6.3,32.0
East Longmeadow,00870000,95.9,7.1,24.2,6.3,0.9,0.2
UP Academy Charter School of Dorchester (District),35050000,92.3,13.4,51.8,25.2,6.3,39.8
Ma Academy for Math and Science,04680000,98.0,3.5,6.1,0.0,0.0,1.0
Chelsea,00570000,88.7,18.8,59.0,36.0,15.0,53.8
Malden,01650000,92.0,13.2,45.1,25.8,9.1,35.3
Brookfield,00450000,94.5,9.8,44.0,12.7,0.7,11.0
Boston Preparatory Charter Public (District),04160000,91.1,15.9,56.3,25.6,9.0,35.3
Hudson,01410000,93.7,10.8,40.8,17.2,4.8,29.5
Up-Island Regional,07740000,93.1,12.1,56.6,21.5,1.5,0.0
Dartmouth,00720000,94.2,10.2,39.2,13.4,3.1,22.3
Pathfinder Regional Vocational Technical,08600000,93.3,11.9,59.7,15.1,1.9,8.8
Somerset Berkley Regional School District,07630000,92.9,12.3,45.4,14.8,5.3,39.4
Greater Fall River Regional Vocational Technical,08210000,95.0,8.8,35.1,8.8,1.9,11.4
Amherst,00080000,94.2,10.0,37.8,15.8,3.0,8.9
North Reading,02170000,95.4,8.2,30.6,6.2,1.0,4.2
Foxborough Regional Charter (District),04460000,94.9,9.0,34.6,10.6,2.6,24.4
Lynn,01630000,91.0,15.2,54.4,30.8,11.0,9.8
City on a Hill Charter Public School (District),04370000,86.1,24.0,70.5,47.4,29.5,60.3
Codman Academy Charter Public (District),04380000,89.6,18.3,67.1,38.0,11.0,48.7
Southampton,02750000,94.8,9.3,37.6,11.1,0.6,0.0
Bedford,00230000,94.7,9.3,34.8,10.3,2.3,4.7
Brooke Charter School (District),04280000,94.5,10.4,40.0,13.3,2.7,0.0
Pioneer Valley,07500000,94.6,9.3,37.3,11.9,2.2,7.9
Nashoba Valley Regional Vocational Technical,08520000,95.4,8.0,34.1,4.6,1.2,22.3
Blue Hills Regional Vocational Technical,08060000,94.8,9.3,44.7,5.3,0.9,0.2
Martha's Vineyard,07000000,93.1,11.6,43.4,17.2,5.5,0.0
Medford,01760000,94.1,10.2,38.1,15.1,3.9,33.0
Milford,01850000,92.3,12.9,46.4,23.1,7.7,32.9
Georgetown,01050000,94.3,9.9,40.0,13.2,2.0,26.7
Community Day Charter Public School (District),04400000,94.8,9.6,40.6,10.5,1.0,0.2
Holliston,01360000,94.8,9.2,35.1,10.5,2.0,26.9
Clinton,00640000,95.3,8.0,32.0,8.7,2.0,1.8
Marblehead,01680000,92.7,12.8,62.0,19.1,2.5,5.1
Triton,07730000,93.7,11.0,41.9,15.3,3.3,28.7
Baystate Academy Charter Public School (District),35020000,90.7,15.9,57.9,32.7,11.7,3.0
Silver Lake,07600000,93.6,11.2,46.0,17.1,3.7,21.7
Hancock,01210000,93.0,11.4,48.1,21.2,5.8,48.1
Avon,00180000,94.9,8.9,30.7,11.6,2.9,16.2
Stoneham,02840000,93.8,10.8,41.9,15.2,4.1,0.0
Sharon,02660000,95.2,8.5,30.9,9.8,1.7,5.6
Kingston,01450000,93.7,11.0,50.5,16.1,2.2,18.0
Argosy Collegiate Charter School (District),35090000,92.5,13.1,49.1,25.8,7.6,38.0
Hadley,01170000,94.0,10.4,41.6,16.3,3.2,6.0
Topsfield,02980000,95.4,8.2,32.4,6.1,0.7,32.1
South Shore Charter Public (District),04880000,93.4,11.5,45.0,19.0,3.8,36.4
Springfield Preparatory Charter School (District),35100000,95.1,8.7,37.5,9.2,1.0,21.6
Longmeadow,01590000,95.1,8.7,33.9,9.9,1.3,0.6
Quincy,02430000,94.4,9.7,35.1,15.6,4.1,27.6
Rockport,02520000,93.8,11.0,42.3,16.7,3.3,34.0
Francis W. Parker Charter Essential (District),04780000,93.4,11.6,47.0,16.7,4.0,0.0
Sizer School: A North Central Charter Essential (District),04740000,90.7,15.5,56.9,28.8,10.8,38.3
Southborough,02760000,94.5,9.7,39.3,12.3,1.8,1.8
West Springfield,03320000,93.6,10.9,42.5,19.1,4.4,17.3
Prospect Hill Academy Charter (District),04870000,94.1,10.3,38.5,16.9,3.7,0.7
Revere,02480000,91.4,14.9,53.6,26.4,9.0,40.1
Assabet Valley Regional Vocational Technical,08010000,91.6,15.0,55.8,27.7,7.5,38.0
Lawrence,01490000,92.1,13.6,48.3,23.3,7.3,5.2
Lunenburg,01620000,94.4,9.8,40.3,12.6,2.9,10.2
New Bedford,02010000,92.3,13.2,50.2,24.2,7.3,38.8
Martha's Vineyard Charter Public School (District),04660000,85.7,24.3,90.3,61.3,18.3,10.2
King Philip,06900000,93.5,11.3,39.9,16.4,5.8,27.0
Mendon-Upton,07100000,94.9,9.0,36.0,10.7,1.9,20.8
Methuen,01810000,92.3,13.3,47.5,23.9,7.5,30.3
Medway,01770000,94.9,9.0,33.1,9.4,2.3,18.9
Gloucester,01070000,91.7,14.4,56.4,27.5,7.1,55.8
Florida,00980000,97.2,4.9,14.1,4.7,0.0,0.0
Marblehead Community Charter Public (District),04640000,94.6,9.5,37.1,11.9,2.5,13.4
Woburn,03470000,92.9,12.1,45.7,21.5,5.9,15.8
Berkshire Arts and Technology Charter Public (District),04140000,91.4,15.1,56.9,31.4,12.0,43.1
KIPP Academy Lynn Charter (District),04290000,93.6,11.6,45.4,17.3,3.7,2.2
Brimfield,00430000,94.4,9.8,42.6,10.6,1.5,23.4
Norwell,02190000,95.0,8.8,35.0,7.7,1.1,23.7
Agawam,00050000,92.4,13.4,59.5,24.7,4.0,0.2
Christa McAuliffe Charter School (District),04180000,92.7,12.7,48.5,20.7,7.1,31.2
Norfolk,02080000,95.0,8.4,33.4,11.0,2.6,1.5
Ashland,00140000,94.7,9.3,36.4,13.4,2.4,7.1
Tantasqua,07700000,94.5,9.7,38.9,14.7,3.0,26.7
Neighborhood House Charter (District),04440000,90.2,17.1,63.4,37.3,10.5,38.6
Essex North Shore Agricultural and Technical School District,08170000,94.2,10.2,40.7,12.6,2.9,16.3
Scituate,02640000,94.9,9.1,36.7,8.6,1.2,11.2
Pembroke,02310000,94.3,10.1,42.1,11.6,2.0,0.0
Sudbury,02880000,95.5,8.0,29.7,6.0,0.7,3.1
Winchendon,03430000,90.3,16.5,57.3,29.8,11.3,0.9
Palmer,02270000,93.7,10.5,38.9,16.8,5.2,38.9
Holyoke Community Charter (District),04530000,92.4,13.3,60.6,16.5,4.4,25.4
Williamsburg,03400000,94.1,10.6,44.7,11.4,1.8,0.0
Lowell Community Charter Public (District),04560000,95.7,7.7,29.4,7.3,1.0,16.0
Monson,01910000,93.9,10.7,41.5,15.3,3.0,19.1
Concord-Carlisle,06400000,95.1,8.6,30.5,10.6,1.8,0.1
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,87.3,21.5,68.7,48.3,17.3,52.7
Truro,03000000,93.0,12.4,62.5,18.8,3.8,12.5
Abby Kelley Foster Charter Public (District),04450000,96.0,7.1,25.6,7.3,0.8,14.2
Warwick,03120000,89.0,18.0,87.5,53.1,3.1,0.0
Wellfleet,03180000,93.2,11.8,59.8,17.1,0.0,59.8
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,92.0,14.3,67.1,23.5,3.0,46.7
Saugus,02620000,91.3,15.1,58.0,29.6,8.1,41.5
